,date,Time,District,DTP_V,POG,RAN,K_TS,K_UCH,n_p,street,house,dor,factor,s_pog,s_pch,osv,COORD_W,COORD_L,OBJ_DTP,change_org_motion
3671,10.06.2018,03:50,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,пр-кт Большой В.О.,53,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,59.936354,30.272999,Многоквартирные жилые дома,Режим движения не изменялся
3672,31.05.2018,17:15,Василеостровский район,Наезд на пешехода,1,0,1,2,г Санкт-Петербург,ул Кораблестроителей,19 корп.1,,"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Ясно,Сухое,Светлое время суток,59.9433,30.215,Нерегулируемый пешеходный переход,Движение полностью перекрыто
3673,29.05.2018,16:30,Василеостровский район,Столкновение,0,2,2,2,г Санкт-Петербург,ул Нахимова,1,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.94276,30.231285,Многоквартирные жилые дома,Режим движения не изменялся
3674,25.05.2018,23:45,Василеостровский район,Столкновение,0,2,2,2,г Санкт-Петербург,ул Уральская,1,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Производственное предприятие,Режим движения не изменялся
3675,24.05.2018,12:55,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Средний В.О.,64 39,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3676,23.05.2018,13:40,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,ул Наличная,55,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,.0164,.0083,Многоквартирные жилые дома,Движение частично перекрыто
3677,22.05.2018,18:00,Василеостровский район,Опрокидывание,0,1,1,1,г Санкт-Петербург,наб Морская,37 2,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3678,22.05.2018,10:25,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,ул Гаванская,10,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3679,21.05.2018,17:10,Василеостровский район,Падение пассажира,0,1,1,2,г Санкт-Петербург,пр-кт Большой В.О.,44,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3680,11.05.2018,22:15,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,наб Макарова,2,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Регулируемый перекрёсток,Режим движения не изменялся
3681,10.05.2018,18:25,Василеостровский район,Наезд на пешехода,0,2,1,3,г Санкт-Петербург,ул Уральская,1,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2192,Многоквартирные жилые дома,Режим движения не изменялся
3682,10.05.2018,18:45,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт КИМа,4,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.948725,30.241874,Многоквартирные жилые дома,Режим движения не изменялся
3683,09.05.2018,19:45,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,линия 1-я В.О.,4,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.939259,30.293249,Нерегулируемый пешеходный переход,Режим движения не изменялся
3684,08.05.2018,13:15,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,наб Новосмоленская,1,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3685,07.05.2018,08:55,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,пр-кт Большой В.О.,65,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3686,07.05.2018,16:15,Василеостровский район,Падение пассажира,0,1,1,2,г Санкт-Петербург,линия 9-я В.О.,2 11,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Регулируемый пешеходный переход,Режим движения не изменялся
3687,05.05.2018,15:00,Василеостровский район,Столкновение,0,2,2,3,г Санкт-Петербург,наб Лейтенанта Шмидта,17,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,59.935118,30.280799,Многоквартирные жилые дома,Движение частично перекрыто
3688,05.05.2018,16:20,Василеостровский район,Столкновение,0,4,2,5,г Санкт-Петербург,,,Западный скоростной диаметр,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.9497,30.2058,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
3689,03.05.2018,11:00,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Наличная,13,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3690,03.05.2018,10:45,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,пр-кт Большой В.О.,60 10,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3691,02.05.2018,14:15,Василеостровский район,Столкновение,0,2,3,3,г Санкт-Петербург,наб Макарова,22,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3692,30.04.2018,22:35,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,наб Макарова,16,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3693,27.04.2018,21:50,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Нахимова,11,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.9431,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3694,25.04.2018,22:20,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Карташихина,19,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3695,24.04.2018,13:29,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,пр-кт Малый В.О.,49,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3696,24.04.2018,22:07,Василеостровский район,Столкновение,0,2,2,3,г Санкт-Петербург,наб Университетская,1,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Мост,Движение частично перекрыто
3697,21.04.2018,21:00,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,линия 8-я В.О.,71,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3698,21.04.2018,14:10,Василеостровский район,Падение пассажира,0,1,1,2,г Санкт-Петербург,пр-кт Средний В.О.,74,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3699,20.04.2018,19:24,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Средний В.О.,31,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.943102,30.278302,Остановка общественного транспорта,Режим движения не изменялся
3700,20.04.2018,20:30,Василеостровский район,Наезд на велосипедиста,0,1,2,2,г Санкт-Петербург,ул Кораблестроителей,37 к.1,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.956132,30.230111,Многоквартирные жилые дома,Режим движения не изменялся
3701,19.04.2018,18:15,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,ул Уральская,13,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.952809,30.262772,Многоквартирные жилые дома,Движение частично перекрыто
3702,14.04.2018,17:52,Василеостровский район,Падение пассажира,0,1,1,2,г Санкт-Петербург,пр-кт Большой В.О.,61,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Остановка общественного транспорта,Режим движения не изменялся
3703,09.04.2018,13:20,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,линия Косая,16,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3704,07.04.2018,21:56,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Нахимова,1,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Регулируемый перекрёсток,Режим движения не изменялся
3705,06.04.2018,19:20,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,ул Беринга,38,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.,30.,Многоквартирные жилые дома,Движение частично перекрыто
3706,03.04.2018,21:30,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Беринга,30,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",.0164,.0083,Кладбище,Режим движения не изменялся
3707,29.03.2018,15:20,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Большой В.О.,101,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3708,28.03.2018,22:20,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,наб Макарова,12,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",59.95,30.2331,Нерегулируемый перекрёсток,Режим движения не изменялся
3709,28.03.2018,13:45,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Большой В.О.,53 10,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3710,27.03.2018,21:49,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,пр-кт КИМа,5 34,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3711,27.03.2018,17:25,Василеостровский район,Наезд на стоящее ТС,0,1,2,2,г Санкт-Петербург,,,Западный скоростной диаметр,"Наличие на проезжей части неисправного ТС, мешающего движению",Ясно,Сухое,Светлое время суток,59.832076,30.2577,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
3712,27.03.2018,14:15,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,линия 7-я В.О.,34,,Сведения отсутствуют,Ясно,Мокрое,Светлое время суток,59.95,30.2331,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Движение полностью перекрыто
3713,24.03.2018,15:00,Василеостровский район,Падение пассажира,0,1,1,2,г Санкт-Петербург,линия 3-я В.О.,15,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3714,23.03.2018,13:00,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Малый В.О.,65,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3715,19.03.2018,09:30,Василеостровский район,Наезд на препятствие,0,1,2,3,г Санкт-Петербург,ул Кораблестроителей,"35, КОРП. 1",,Сведения отсутствуют,Ясно,Заснеженное,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3716,17.03.2018,13:55,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,линия 19-я В.О.,22 корп.2,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,53.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3717,13.03.2018,08:40,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,линия 9-я В.О.,56,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3718,13.03.2018,07:45,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,линия 14-я В.О.,23,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3719,09.03.2018,12:10,Василеостровский район,Падение пассажира,0,1,1,2,г Санкт-Петербург,пр-кт Малый В.О.,73,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,59.95,30.2331,Остановка общественного транспорта,Режим движения не изменялся
3720,06.03.2018,10:50,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,наб Лейтенанта Шмидта,43,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,59.,30.,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
3721,05.03.2018,16:35,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Малый В.О.,84,,Сведения отсутствуют,Ясно,Обработанное противогололедными материалами,Светлое время суток,59.9439,30.2381,Нерегулируемый пешеходный переход,Режим движения не изменялся
3722,05.03.2018,16:20,Василеостровский район,Столкновение,0,1,3,3,г Санкт-Петербург,линия 4-я В.О.,1 3,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.95,30.2331,Нерегулируемый перекрёсток,Движение частично перекрыто
3723,28.02.2018,17:40,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,наб Лейтенанта Шмидта,27,,Сведения отсутствуют,Ясно,Гололедица,Светлое время суток,59.,30.,Многоквартирные жилые дома,Движение частично перекрыто
3724,22.02.2018,20:30,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Беринга,30,,Сведения отсутствуют,Пасмурно,Заснеженное,"В темное время суток, освещение включено",59.9439,30.2383,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
3725,18.02.2018,16:10,Василеостровский район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,пр-кт Средний В.О.,86,,Сведения отсутствуют,Пасмурно,Заснеженное,Светлое время суток,53.95,30.2331,Регулируемый перекрёсток,Режим движения не изменялся
3726,15.02.2018,19:35,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Большой В.О.,37,,Сведения отсутствуют,Ясно,Загрязненное,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3727,14.02.2018,19:05,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Средний В.О.,1,,Сведения отсутствуют,Пасмурно,Заснеженное,"В темное время суток, освещение включено",59.95,30.2331,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
3728,11.02.2018,05:52,Василеостровский район,Столкновение,1,3,4,4,г Санкт-Петербург,линия 8-я В.О.,23,,Сведения отсутствуют,Пасмурно,Заснеженное,"В темное время суток, освещение включено",59.9393,30.2796,Многоквартирные жилые дома,Режим движения не изменялся
3729,10.02.2018,05:35,Василеостровский район,Столкновение,0,2,2,4,г Санкт-Петербург,пр-кт Средний В.О.,36,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3730,09.02.2018,19:45,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Наличная,51,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",59.95,30.2331,Остановка общественного транспорта,Движение частично перекрыто
3731,08.02.2018,10:20,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,наб Лейтенанта Шмидта,17,,Сведения отсутствуют,Пасмурно,Заснеженное,Светлое время суток,59.95,30.2331,Остановка общественного транспорта,Режим движения не изменялся
3732,04.02.2018,10:07,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,линия Кадетская В.О.,1,,Сведения отсутствуют,Пасмурно,Заснеженное,Светлое время суток,59.95,30.2331,Регулируемый перекрёсток,Режим движения не изменялся
3733,01.02.2018,20:10,Василеостровский район,Наезд на препятствие,0,2,3,3,г Санкт-Петербург,,,Западный скоростной диаметр,Сужение проезжей части вследствие проведения работ,Снегопад,Заснеженное,"В темное время суток, освещение включено",59.9608,30.2147,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
3734,29.01.2018,22:00,Василеостровский район,Столкновение,0,2,2,3,г Санкт-Петербург,наб Лейтенанта Шмидта,21 лит А,,Сведения отсутствуют,Снегопад,Заснеженное,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3735,24.01.2018,18:40,Василеостровский район,Наезд на стоящее ТС,0,1,4,2,г Санкт-Петербург,наб Лейтенанта Шмидта,11,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",59.95,30.2331,Иная образовательная организация,Режим движения не изменялся
3736,21.01.2018,14:00,Василеостровский район,Столкновение,0,1,3,3,г Санкт-Петербург,ул Кораблестроителей,41,,Сведения отсутствуют,Пасмурно,Заснеженное,Светлое время суток,59.95,30.2331,Регулируемый перекрёсток,Движение частично перекрыто
3737,21.01.2018,22:20,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,пр-кт Малый В.О.,68 корп.1 лит А,,Сведения отсутствуют,Пасмурно,Гололедица,"В темное время суток, освещение включено",.0164,.0083,АЗС,Режим движения не изменялся
3738,20.01.2018,07:30,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Наличная,40,,Сведения отсутствуют,Снегопад,Заснеженное,"В темное время суток, освещение включено",53.95,30.2331,Регулируемый пешеходный переход,Режим движения не изменялся
3739,19.01.2018,23:40,Василеостровский район,Столкновение,0,2,2,3,г Санкт-Петербург,ул Железноводская,34,,Сведения отсутствуют,Пасмурно,Заснеженное,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3740,17.01.2018,12:40,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Большой В.О.,38 11,,Сведения отсутствуют,Ясно,Гололедица,Светлое время суток,53.95,30.2331,Многоквартирные жилые дома,Движение частично перекрыто
3741,16.01.2018,02:30,Василеостровский район,Столкновение,0,2,2,2,г Санкт-Петербург,пр-кт Средний В.О.,75,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3742,16.01.2018,19:45,Василеостровский район,Столкновение,0,1,3,3,г Санкт-Петербург,пер Волховский,2,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3743,14.01.2018,18:40,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,наб Морская,6 ПО В ШЕФНЕРА,,Сведения отсутствуют,Пасмурно,Гололедица,"В темное время суток, освещение включено",53.95,30.2331,Объект строительства,Режим движения не изменялся
3744,13.01.2018,16:20,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,,Сведения отсутствуют,Пасмурно,Гололедица,"В темное время суток, освещение включено",59.921076,30.251155,Административные здания,Режим движения не изменялся
3745,13.01.2018,15:15,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Наличная,12,,Сведения отсутствуют,Пасмурно,Гололедица,Светлое время суток,59.9664,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3746,11.01.2018,19:35,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,линия 11-я В.О.,16,,Сведения отсутствуют,Пасмурно,Заснеженное,"В темное время суток, освещение включено",53.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3747,10.01.2018,08:15,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,,,Западный скоростной диаметр,Сведения отсутствуют,Дождь,Мокрое,"В темное время суток, освещение включено",59.960731,30.21457,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
3748,10.01.2018,21:45,Василеостровский район,Столкновение,0,1,3,2,г Санкт-Петербург,линия 18-я В.О.,23,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",.0164,.0083,Школа либо иная детская (в т.ч. дошкольная) организация,Движение частично перекрыто
3749,09.01.2018,09:10,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,наб Макарова,8,,Сведения отсутствуют,Ясно,Заснеженное,Светлое время суток,59.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3750,09.01.2018,16:50,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,,,Западный скоростной диаметр,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",59.956053,30.20845,Тоннель,Движение частично перекрыто
3751,07.01.2018,12:50,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,линия 26-я В.О.,27,,Сведения отсутствуют,Ясно,Гололедица,Светлое время суток,59.,30.,Многоквартирные жилые дома,Движение частично перекрыто
3752,05.01.2018,23:40,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,наб Морская,45,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",.0164,.0083,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
3753,02.01.2018,21:20,Василеостровский район,Наезд на стоящее ТС,0,1,2,2,г Санкт-Петербург,ул Кораблестроителей,30,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.9522,30.2194,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
3754,02.01.2018,18:20,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,линия 23-я В.О.,2,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",53.95,30.2331,Многоквартирные жилые дома,Режим движения не изменялся
3755,01.01.2018,14:30,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Большой В.О.,83,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,59.95,30.2331,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
3756,29.02.2020,10:15,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,ул Шевченко,9,,Сведения отсутствуют,Ясно,Заснеженное,Светлое время суток,59.931614,30.245458,Многоквартирные жилые дома,Режим движения не изменялся
3757,29.02.2020,11:30,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,наб Реки Смоленки,35 корп 1,,Сведения отсутствуют,Ясно,Мокрое,Светлое время суток,59.947989,30.251788,Многоквартирные жилые дома,Режим движения не изменялся
3758,28.02.2020,16:44,Василеостровский район,Наезд на препятствие,0,1,2,2,г Санкт-Петербург,наб Макарова,60,,Сведения отсутствуют,Пасмурно,Заснеженное,Светлое время суток,59.957766,30.250286,Производственное предприятие,Режим движения не изменялся
3759,22.02.2020,19:30,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Флагманская,30 по ул . Кораблест,,Сведения отсутствуют,Дождь,Мокрое,"В темное время суток, освещение включено",59.952856,30.214688,Многоквартирные жилые дома,Режим движения не изменялся
3760,19.02.2020,17:25,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,пр-кт Большой В.О.,74,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,59.93135,30.256594,Многоквартирные жилые дома,Режим движения не изменялся
3761,16.02.2020,17:05,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пр-кт Большой В.О.,68,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,59.932436,30.259995,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
3762,13.02.2020,19:34,Василеостровский район,Наезд на велосипедиста,0,1,2,2,г Санкт-Петербург,пр-кт Большой В.О.,68,,Сужение проезжей части вследствие проведения работ,Пасмурно,Мокрое,"В темное время суток, освещение включено",59.932544,30.260414,Производственное предприятие,Режим движения не изменялся
3763,12.02.2020,12:20,Василеостровский район,Столкновение,0,4,2,5,г Санкт-Петербург,наб Лейтенанта Шмидта,11,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,59.935795,30.283728,Многоквартирные жилые дома,Режим движения не изменялся
3764,11.02.2020,21:30,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,линия 9-я В.О.,22,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",59.940031,30.278803,Многоквартирные жилые дома,Режим движения не изменялся
3765,10.02.2020,16:50,Василеостровский район,Столкновение,0,2,3,4,г Санкт-Петербург,пр-кт Большой В.О.,75,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,59.933328,30.262978,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
3766,09.02.2020,11:30,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,линия 18-я В.О.,9,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",59.933361,30.269662,Многоквартирные жилые дома,Режим движения не изменялся
3767,07.02.2020,16:00,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,наб Лейтенанта Шмидта,17,,Сведения отсутствуют,Ясно,Гололедица,Светлое время суток,59.934505,30.278986,Многоквартирные жилые дома,Режим движения не изменялся
3768,06.02.2020,14:55,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,пер Каховского,2,,Сведения отсутствуют,Ясно,Заснеженное,Светлое время суток,59.951766,30.244825,Многоквартирные жилые дома,Режим движения не изменялся
3769,06.02.2020,08:35,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,наб Новосмоленская,1,,Сведения отсутствуют,Ясно,Мокрое,"В темное время суток, освещение включено",59.949611,30.222648,Многоквартирные жилые дома,Режим движения не изменялся
3770,03.02.2020,21:28,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,ул Наличная,7,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",59.9312,30.236435,Многоквартирные жилые дома,Движение частично перекрыто
3771,01.02.2020,02:05,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,наб Реки Смоленки,3 1,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",59.948349,30.263064,Многоквартирные жилые дома,Режим движения не изменялся
3772,01.02.2020,22:53,Василеостровский район,Столкновение,0,1,2,2,г Санкт-Петербург,наб Макарова,12,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",59.94592,30.29171,Многоквартирные жилые дома,Режим движения не изменялся
3773,30.01.2020,08:15,Василеостровский район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,ул Одоевского,27,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",59.947661,30.237046,Многоквартирные жилые дома,Режим движения не изменялся
3774,30.01.2020,15:20,Василеостровский район,Столкновение,0,1,2,3,г Санкт-Петербург,пр-кт Большой В.О.,58 17,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,59.933979,30.26551,Многоквартирные жилые дома,Режим движения не изменялся
3775,30.01.2020,14:30,Василеостровский район,Падение пассажира,0,1,1,2,г Санкт-Петербург,ул Гаванская,25,,Сведения отсутствуют,Ясно,Заснеженное,Светлое время суток,59.932049,30.240104,Остановка общественного транспорта,Режим движения не изменялся
