,date,Time,District,DTP_V,POG,RAN,K_TS,K_UCH,n_p,street,house,dor,factor,s_pog,s_pch,osv,COORD_W,COORD_L,OBJ_DTP,change_org_motion
765,04.05.2018,07:45,Курортный район,Столкновение,0,1,2,2,п Репино,ш Приморское,404,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.1633,29.8742,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
766,04.05.2018,08:50,Курортный район,Столкновение,1,0,2,2,г Зеленогорск,ш Приморское,572А,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.1914,29.6486,"Объект торговли, общественного питания на автодороге вне НП",Движение частично перекрыто
767,04.05.2018,15:15,Курортный район,Столкновение,0,1,2,2,г Сестрорецк,ш Приморское,315,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.1225,29.9767,АЗС,Режим движения не изменялся
768,03.05.2018,12:00,Курортный район,Наезд на препятствие,0,1,1,1,г Сестрорецк,ул Токарева,24,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.091754,29.955715,Многоквартирные жилые дома,Режим движения не изменялся
769,03.05.2018,14:20,Курортный район,Столкновение,0,1,2,2,п Солнечное,ш Приморское,3 км,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.154151,29.900751,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
770,02.05.2018,14:05,Курортный район,Падение пассажира,0,2,1,3,г Сестрорецк,ш Дубковское,4,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.092648,29.956402,Нерегулируемый пешеходный переход,Режим движения не изменялся
771,29.04.2018,22:20,Курортный район,Столкновение,0,1,2,3,г Сестрорецк,ш Приморское,202,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.050122,29.975823,Остановка общественного транспорта,Движение частично перекрыто
772,29.04.2018,17:00,Курортный район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,Таможенная дорога,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.142359,29.957786,Остановка общественного транспорта,Режим движения не изменялся
773,28.04.2018,16:20,Курортный район,Наезд на препятствие,0,1,1,1,п Серово,ш Приморское,640-а,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.196252,29.565303,Административные здания,Режим движения не изменялся
774,27.04.2018,16:45,Курортный район,Наезд на пешехода,0,1,1,2,п Солнечное,ш Приморское,1 км 857 м,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.142455,29.958065,Остановка общественного транспорта,Режим движения не изменялся
775,25.04.2018,10:50,Курортный район,Опрокидывание,0,1,1,1,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.139496,29.988642,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
776,19.04.2018,16:15,Курортный район,Наезд на пешехода,0,1,1,2,п Песочный,ул Мельничная,15,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.125786,30.150969,Нерегулируемый перекрёсток,Режим движения не изменялся
777,18.04.2018,10:44,Курортный район,Столкновение,0,3,6,4,г Сестрорецк,ш Приморское,348,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.1039,29.9767,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
778,16.04.2018,21:15,Курортный район,Столкновение,0,2,3,4,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.1989,29.7336,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
779,16.04.2018,07:40,Курортный район,Столкновение,0,2,2,3,г Санкт-Петербург,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.18056,29.455632,Жилые дома индивидуальной застройки,Движение частично перекрыто
780,14.04.2018,22:10,Курортный район,Наезд на препятствие,0,1,2,1,г Сестрорецк,,,,Сужение проезжей части припаркованным транспортом,Пасмурно,Сухое,"В темное время суток, освещение отсутствует",60.051662,30.003424,Нерегулируемый пешеходный переход,Режим движения не изменялся
781,13.04.2018,20:40,Курортный район,Столкновение,0,1,2,2,г Сестрорецк,ш Левашовское,6,,Сведения отсутствуют,Ясно,Сухое,Сумерки,60.0397,29.9994,Автостоянка (отделенная от проезжей части),Движение частично перекрыто
782,12.04.2018,14:05,Курортный район,Падение пассажира,0,1,1,2,г Зеленогорск,пр-кт Ленина,21,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.198779,29.705583,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
783,12.04.2018,08:00,Курортный район,Наезд на препятствие,0,1,1,1,г Сестрорецк,ул Тарховская,31,,Сведения отсутствуют,Ясно,Гололедица,Светлое время суток,60.059202,29.981492,Зоны отдыха,Движение частично перекрыто
784,12.04.2018,14:45,Курортный район,Столкновение,0,4,3,5,г Санкт-Петербург,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.191622,29.651222,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
785,10.04.2018,10:55,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.159405,29.973699,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
786,09.04.2018,18:00,Курортный район,Наезд на пешехода,0,1,1,2,г Сестрорецк,ул Максима Горького,2,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.110932,29.959384,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
787,09.04.2018,16:20,Курортный район,Наезд на препятствие,1,0,1,1,г Зеленогорск,ш Зеленогорское,17,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.202585,29.706388,Многоквартирные жилые дома,Режим движения не изменялся
788,06.04.2018,22:20,Курортный район,Падение пассажира,0,1,1,2,п Комарово,ш Приморское,452 а,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.172252,29.808387,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
789,05.04.2018,11:15,Курортный район,Падение пассажира,0,1,1,2,г Сестрорецк,ул Токарева,10,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.0883,29.9539,Многоквартирные жилые дома,Режим движения не изменялся
790,03.04.2018,08:30,Курортный район,Наезд на препятствие,0,1,1,2,п Репино,ш Приморское,416,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.166415,29.86447,Нерегулируемый перекрёсток,Режим движения не изменялся
791,31.03.2018,13:35,Курортный район,Столкновение,0,2,2,3,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Ясно,Мокрое,Светлое время суток,60.1797,29.83,Жилые дома индивидуальной застройки,Движение частично перекрыто
792,22.03.2018,16:45,Курортный район,Столкновение,0,3,2,3,п Смолячково,ш Приморское,678,,Сведения отсутствуют,Снегопад,Обработанное противогололедными материалами,Светлое время суток,60.18058,29.490331,Зоны отдыха,Режим движения не изменялся
793,22.03.2018,04:30,Курортный район,Наезд на препятствие,0,1,1,1,п Смолячково,ш Приморское,704,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение отсутствует",59.8381,30.2414,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
794,19.03.2018,22:50,Курортный район,Наезд на препятствие,0,2,1,3,г Сестрорецк,дор Коннолахтинская,1 км,,Сведения отсутствуют,Снегопад,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.057577,30.130653,Производственное предприятие,Режим движения не изменялся
795,14.03.2018,06:15,Курортный район,Иной вид ДТП,0,1,1,1,г Санкт-Петербург,,,А-118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.03877,30.00006,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
